op_code,work_center,description,est_hours,section,notes,job_no
.010,PRE FAB,Receive material,0.0,,,001-25
.QC1,INSPECTION,UT top and bottom heads,0.0,,,001-25
.100,PRE FAB,Cut nozzle pipe and clean,0.0,Nozzles and Manways,,001-25
.105,PRE FAB,Build nozzles and weld,0.0,Nozzles and Manways,,001-25
.107,PRE FAB,"Build Repads for Nozzles, drill and tap holes",0.0,Nozzles and Manways,,001-25
.110,PRE FAB,Build dip tubes and weld,0.0,Nozzles and Manways,,001-25
.115,PRE FAB,"Make manway parts:  cut clips, form handles, etc.",0.0,Nozzles and Manways,,001-25
.120,PRE FAB,Burn manway neck (CHECK BEFORE BURNING); Clean and bevel,0.0,Nozzles and Manways,,001-25
.125,PRE FAB,Roll manway neck,0.0,Nozzles and Manways,,001-25
.130,PRE FAB,Set up and weld manway flange and neck seam,0.0,Nozzles and Manways,,001-25
.135,PRE FAB,Build davit arm assembly and cover,0.0,Nozzles and Manways,,001-25
.140,PRE FAB,Build hatch/door,0.0,Nozzles and Manways,,001-25
.145,PRE FAB,Install cladding on flange,0.0,Nozzles and Manways,,001-25
.147,PRE FAB,Install cladding on blind / cover,0.0,Nozzles and Manways,,001-25
.155,PRE FAB,Cut parts on CNC plasma table,3.0,Cut & Prep Parts,,001-25
.156,PRE FAB,Clean and prep parts,1.0,Cut & Prep Parts,,001-25
.165,PRE FAB,"Build supports (legs, lugs, saddles)",0.0,Supports,,001-25
.170,PRE FAB,Roll repads; drill and tap,0.0,Supports,,001-25
.175,PRE FAB,Build and weld base ring - skirt,0.0,Supports,,001-25
.180,BUILD,"Skirt; bring in plate, square, trim and clean",0.0,Supports,,001-25
.185,BUILD,Roll skirt shells,0.0,Supports,,001-25
.200,PRE FAB,"Make lift lugs, ground lugs, etc.",0.0,Misc. Parts,,001-25
.205,PRE FAB,Roll rim angle,0.0,Misc. Parts,,001-25
.210,PRE FAB,Roll insulation rings,0.0,Misc. Parts,,001-25
.215,PRE FAB,Burn and clean baffles (CHECK BEFORE BURNING),0.0,Misc. Parts,,001-25
.220,PRE FAB,Form baffles,0.0,Misc. Parts,,001-25
.225,PRE FAB,Cut and make baffle supports,0.0,Misc. Parts,,001-25
.230,PRE FAB,Build baffles and weld,0.0,Misc. Parts,,001-25
.235,PRE FAB,Build top and bottom stiffeners,0.0,Misc. Parts,,001-25
.240,PRE FAB,Roll/Burn vacuum rings (CHECK BEFORE BURNING),0.0,Misc. Parts,,001-25
.245,PRE FAB,Cut parts for mixer bridge,0.0,Misc. Parts,,001-25
.250,PRE FAB,Roll pipe - internal coil,0.0,Misc. Parts,,001-25
.252,PRE FAB,Fabricate miscellaneous parts,0.0,Misc. Parts,,001-25
.255,PRE FAB,Drill / punch holes,0.0,Misc. Parts,,001-25
.257,PRE FAB,Build Flange,0.0,Misc. Parts,,001-25
.260,PRE FAB,Sandblast parts / plates,0.0,Misc. Parts,,001-25
.261,PRE FAB,"Miscellaneous Fabrication - Braces, Mounting Plates, Cone Outlet Necks",0.0,Misc. Parts,,001-25
.262,PRE FAB,"Cut / make parts for ladder (rungs, rails, etc.)",0.0,"Ladders, Handrails and Platforms",,001-25
.265,PRE FAB,Form and roll ladder hoops,0.0,"Ladders, Handrails and Platforms",,001-25
.270,PRE FAB,Build ladder; weld out,0.0,"Ladders, Handrails and Platforms",,001-25
.272,PRE FAB,Cut / make parts for handrail,0.0,"Ladders, Handrails and Platforms",,001-25
.275,PRE FAB,Roll handrail pipe,0.0,"Ladders, Handrails and Platforms",,001-25
.280,PRE FAB,Roll handrail toe plate,0.0,"Ladders, Handrails and Platforms",,001-25
.282,PRE FAB,Build handrail; weld out,0.0,"Ladders, Handrails and Platforms",,001-25
.285,PRE FAB,Cut / make parts for platform,0.0,"Ladders, Handrails and Platforms",,001-25
.290,PRE FAB,Burn grating for platforms; clean and band,0.0,"Ladders, Handrails and Platforms",,001-25
.292,PRE FAB,Build platform; weld out,0.0,"Ladders, Handrails and Platforms",,001-25
.295,PRE FAB,Mount handrail on platform,0.0,"Ladders, Handrails and Platforms",,001-25
.QC2,INSPECTION,QC Inspection - Components prior to shipment to subcontractor,0.0,"Ladders, Handrails and Platforms",,001-25
.300,BUILD,Wrap top and bottom heads,0.0,Shells,,001-25
.QC3,INSPECTION,UT Shells,0.0,Shells,,001-25
.305,BUILD,"Shells; bring in plate, square, trim and clean",0.0,Shells,,001-25
.310,BUILD,Bevel shell plates,0.0,Shells,,001-25
.315,BUILD,"Roll shells, tack and weld inside seams",0.0,Shells,,001-25
.320,BUILD,Set up and weld sides - rectangular tank,0.0,Shells,,001-25
.325,BUILD,Install body flange on shell,0.0,Shells,,001-25
.326,WELD,Weld body flange on shell,0.0,Shells,,001-25
.350,BUILD,Build top head / cone,0.0,Top Head,,001-25
.QC4,INSPECTION,QC Inspection - Top,0.0,Top Head,,001-25
.355,DETAIL,"Lay out top head, burn and clean holes",0.0,Top Head,,001-25
.360,BUILD,Bevel top head,0.0,Top Head,,001-25
.365,DETAIL,Set  nozzles in top head,0.0,Top Head,,001-25
.366,WELD,Weld nozzles in top head,0.0,Top Head,,001-25
.370,WELD,Install and weld out repads - top head,0.0,Top Head,,001-25
.375,DETAIL,Install top stiffeners,0.0,Top Head,,001-25
.380,DETAIL,Build mixer bridge,0.0,Top Head,,001-25
.382,BUILD,Install body flange on top head,0.0,Top Head,,001-25
.383,WELD,Weld body flange on top head,0.0,Top Head,,001-25
.385,WELD,Dye pen top head,0.0,Top Head,,001-25
